01,数学学院
1C,日本研究院
1C01,日本研究院
1CQ1,其他（退休）
1D,经济与社会发展研究院
1D01,经发院
1DQ1,其他（退休）
1F,APEC研究中心
1F01,APEC研究中心
1FQ1,其他（退休）
1G,高等教育研究所
1G01,高等教育研究所
1GQ1,其他（退休）
1H,欧洲研究中心
1H01,欧洲研究中心
1HQ1,其他（退休）
1I,跨文化交流研究院
1I01,跨文化交流研究院
1IQ1,其他（退休）
1J,旅游与服务学院
1J01,旅游与服务学院行政
1J02,教学科研综合
1JQ1,旅游原账
1K,WTO研究中心
1K01,WTO研究中心
1L,滨海开发研究院
1L01,滨海开发研究院
1M,东北亚研究中心
1M01,东北亚研究中心
1N,金融发展研究院
1N01,金融发展研究院
1P,国家经济战略研究院
1P01,国家经济战略研究院行
21,体育部
2101,体育部
21Q1,其他（退休）
22,图书馆
2201,图书馆办公室
2202,技术部
2203,期刊文献部
2204,资源建设部
2205,流通阅览部
2206,经济分馆
2207,南开大学地方文献研究
23,信息化建设与管理办公室
2301,信息化办办公室
2302,网络管理科
2303,公共服务科
2304,教育技术科
2305,校区
24,现代远程教育学院
2401,远程学院行政
2402,远程学院教学综合
25,职业技术学院
2501,职业技术学院
26,泰达学院
2601,泰达学院行政
2602,教学综合
2603,泰达各系所
260301,工业工程系
260302,物流管理系
260303,会展管理系
260304,国际商务研究所
260305,微电子系
2604,泰达应用物理学院
2605,泰达生物技术学院
2606,后勤办
260601,后勤办公室
260602,食堂
260603,司机班
260604,医务室
2607,图书馆
2608,学生工作办公室
27,迎水道校区
2701,校区办公室
2702,校区团委
2703,校区财务后勤办公室
2704,校区保卫科
2705,校区教学办
2706,校区后勤服务中心
270601,校区后勤办公室
270602,校区动力维修部
270603,校区膳食服务部
270604,校区公寓服务部
270605,校区校园环境部
28,深圳金融工程学院
2801,深圳金融工程学院
2A,体育管理中心
2A01,体育管理中心
31,学校办公室
3101,学校办公室
32,组织部
3201,组织部
33,宣传部
3301,宣传部办公室
3302,新闻中心办公室
3303,有线台办公室
3304,校史研究室
34,统战部
3401,统战部
35,纪委监察室
3501,纪委监察室
36,学工部
3601,学工部
3602,招生办公室
3603,艺术教育指导中心
3604,学生生活指导中心
37,战略发展部
3701,战略发展部
38,发展委员会办公室
3801,发展委员会办公室
39,人事处
3901,人事处
3902,人事处公寓
3A,教务处
3A01,教务处
3A02,一主楼教学设备
3A03,二主楼教学设备
3A04,校区电教馆三层
